date,year,month,mn_nsys,mn_nsys_lwr,mn_nsys_upr,daosys_nsys,daosys_nsys_lwr,daosys_nsys_upr,tot_nsys,tot_nsys_lwr,tot_nsys_upr,price,price_lwr,price_upr,mn_reward,mn_reward_lwr,mn_reward_upr,daosys_reward,daosys_reward_lwr,daosys_reward_upr,tot_reward,tot_reward_lwr,tot_reward_upr,tot_nodes,investment_nodes
2023-01-01,2023,1,5551.093504125715,5345.6850186505835,5756.501989600847,1.1697821978605134,1.1264964579577281,1.2130679377642082,5552.263286323576,5346.811515108541,5757.715057538611,0.25,0.25,0.25,1387.7733760314288,1387.7733760314288,1387.7733760314288,0.29244554946512835,0.28162411448943203,0.30326698444105205,1388.065821580894,1388.0550001459183,1388.0766430158699,2961.2019123408604,400
2023-01-02,2023,1,5550.665442180667,5345.272796387529,5756.0580879738045,2.3394741902084206,2.2529060482975183,2.426042332117504,5553.004916370875,5347.525702435826,5758.484130305922,0.25305885004431355,0.25062987997885494,0.25930005197696365,1404.645013778951,1391.1626135765184,1439.287837664183,0.5920246482824946,0.5646455724884434,0.629072902816383,1405.2370384272333,1391.7272591490068,1439.9169105669994,2961.430277365466,400
2023-01-03,2023,1,5550.237446248882,5344.860637695032,5755.614254802732,3.509075990950805,3.379228784417137,3.6389231974862923,5553.746522239833,5348.239866479449,5759.253178000218,0.2523214019870891,0.25024172662530475,0.2575792308584573,1400.4436937987589,1388.9010017297423,1429.6258924865954,0.885414973715941,0.845624045674474,0.9373110383615173,1401.329108772475,1389.7466257754168,1430.5632035249569,2961.6586423900712,400
2023-01-04,2023,1,5549.809516315088,5344.448542558387,5755.17049007179,4.678587613998388,4.5054646797107125,4.851710548289702,5554.488103929087,5348.954007238098,5760.022200620079,0.2533868650184963,0.2502897492074962,0.26257677283407016,1406.2488347888973,1389.0604319878792,1457.2510726378277,1.1854926482254182,1.1276716247480263,1.2739464984949271,1407.4343274371226,1390.1881036126272,1458.5250191363227,2961.8870074146776,400
2023-01-05,2023,1,5549.381652364029,5344.036510962901,5754.726793765158,5.848009073259163,5.631613747562369,6.06440439895232,5555.229661437288,5349.668124710463,5760.79119816411,0.25443840322554845,0.2506175818449299,0.26641917638393536,1411.975806516659,1390.7726104500941,1478.461689262947,1.487958090648581,1.4113814192987444,1.6156736252279915,1413.4637646073077,1392.183991869393,1480.077362888175,2962.115372439283,400
2023-01-06,2023,1,5548.953854380439,5343.624542893873,5754.283165867005,7.017340382626571,6.757676001365326,7.277004763884179,5555.971194763066,5350.382218895238,5761.560170630889,0.2552294675253361,0.25037642372788016,0.26614305827628887,1416.2565375761808,1389.3272214908106,1476.815549038811,1.7910320493018181,1.6919627499335717,1.9367243029512586,1418.0475696254825,1391.0191842407442,1478.7522733417622,2962.3437374638884,400
2023-01-07,2023,1,5548.5261223490625,5343.212638336613,5753.839606361512,8.186581556001329,7.883651454503706,8.489511657498952,5556.712703905064,5351.096289791117,5762.329118019011,0.25512373879824035,0.2506595384852035,0.27100961782677974,1415.5607291533956,1390.7909971011118,1503.7039439197235,2.0885912945437752,1.9761124351641024,2.3007393098347824,1417.6493204479393,1392.767109536276,1506.0046832295584,2962.5721024884947,400
2023-01-08,2023,1,5548.098456254653,5342.800797276438,5753.3961152328675,9.355732607284153,9.00954012035072,9.70192509421031,5557.454188861937,5351.810337396789,5763.098040327078,0.25758010837641876,0.2506763970244559,0.27973299159202564,1429.0798016451151,1390.7773313508621,1551.9861788152132,2.4098506189250473,2.2584790562168013,2.713948530805195,1431.4896522640402,1393.035810407079,1554.7001273460185,2962.8004675131,400
2023-01-09,2023,1,5547.6708560819625,5342.389019698665,5752.952692465261,10.524793550357572,10.13534201229777,10.91424508842465,5558.19564963232,5352.524361710963,5763.866937553686,0.2564450953745006,0.2505995955161954,0.2799602394822397,1422.6729817942762,1390.2440725911251,1553.127261437348,2.6990316858183765,2.539912608700123,3.0555546687232233,1425.3720134800947,1392.7839851998253,1556.1828161060712,2963.0288325377064,400
2023-01-10,2023,1,5547.243321815754,5341.977305588619,5752.509338042889,11.693764399118663,11.26105714370351,12.126471654533816,5558.937086214873,5353.2383627323225,5764.635809697423,0.2586628877661132,0.251084278825598,0.2778920954622599,1434.865976762149,1392.8255889282232,1541.5350707384073,3.0247428683326008,2.8274744117406443,3.3698506186421,1437.8907196304817,1395.6530633399639,1544.9049213570495,2963.2571975623114,400
2023-01-11,2023,1,5546.815853440787,5341.5656549316245,5752.066051949949,12.862645167449955,12.38668552794843,13.338604806944204,5559.678498608237,5353.952340459573,5765.404656756893,0.25999935662489826,0.25091462480836496,0.28189949007834897,1442.1685532113904,1391.7772187471858,1563.6445606434597,3.344279468031345,3.1080005518643845,3.7601458934341854,1445.5128326794218,1394.88521929905,1567.4047065368939,2963.4855625869172,400
2023-01-12,2023,1,5546.3884509418285,5341.154067713013,5751.622834170644,14.031435869226698,13.512227178398462,14.55064456006221,5560.419886811055,5354.666294891412,5766.173478730706,0.259921356833521,0.2506449355381823,0.2817312696835091,1441.624811694571,1390.1741757560333,1562.5910604417925,3.6470698494519387,3.386771310106957,4.099371566619771,1445.271881544023,1393.5609470661402,1566.6904320084122,2963.713927611523,400
2023-01-13,2023,1,5545.961114303655,5340.742543918124,5751.179684689187,15.200136518338695,14.637682108426816,15.762590928250575,5561.161250821994,5355.380226026551,5766.942275617437,0.2593873436417664,0.2508621545626859,0.2867463945342984,1438.552121379756,1391.2717542550893,1590.2843537539932,3.942723034484082,3.67204047152363,4.519866117194892,1442.49484441424,1394.9437947266129,1594.804219871188,2963.942292636129,400
