,year,month,mn_nsys,mn_nsys_lwr,mn_nsys_upr,daosys_nsys,daosys_nsys_lwr,daosys_nsys_upr,tot_nsys,tot_nsys_lwr,tot_nsys_upr,mn_reward,mn_reward_lwr,mn_reward_upr,daosys_reward,daosys_reward_lwr,daosys_reward_upr,tot_reward,tot_reward_lwr,tot_reward_upr,price,price_lwr,price_upr,total_nodes,investment_nodes
0,2023,1,171885.14607342618,165524.83751361296,178245.4546332394,579.765050381121,558.311860871433,601.2182398908499,172464.9111238073,166083.1493744844,178846.67287313024,45044.44463089823,43198.204411966355,50136.664065434335,153.83749454222476,140.57444378967926,182.09016359513154,45198.28212544045,43338.778855756034,50318.754229029466,0.2636256924982271,0.2510544700815344,0.2939206510291475,2968.052863079032,400
1,2023,2,154899.0957813293,149167.32624037983,160630.86532227878,1487.6693730988773,1432.6207754508068,1542.717970747006,156386.76515442817,150599.94701583064,162173.5832930258,42811.88006969718,39253.89807920528,51443.62374421742,412.12628086004577,363.2514002276178,514.4359972720413,43224.006350557225,39617.149479432905,51958.05974148946,0.27580726974882697,0.2528918498457574,0.33211104387592816,2974.447083767992,400
2,2023,3,171107.50185522262,164775.96865669292,177439.03505375233,2711.902090366406,2611.5529067821335,2812.2512739506783,173819.40394558903,167387.52156347505,180251.286327703,48988.332740189995,43543.74962354553,65532.53450094906,777.1424894495599,664.5246268058048,1081.6212608717667,49765.47522963955,44208.27425035134,66614.15576182083,0.28506146078448424,0.2547976283978052,0.38659932414161513,2981.526399530769,400
3,2023,4,165201.52912412485,159088.536094852,171314.5221533977,3687.422402302269,3550.9757994119427,3823.8690051923622,168888.95152642712,162639.51189426394,175138.39115859006,49418.22568385208,42114.45375522699,67867.7090682716,1106.0761743596481,905.3780518743357,1574.806811033641,50524.30185821172,43019.83180710133,69442.51587930524,0.30016972608350406,0.25476513812531726,0.40500398296001106,2988.377350268941,400
4,2023,5,170310.86065193542,164008.80576482537,176612.91553904547,4906.196976037929,4724.651756246109,5087.742195829633,175217.05762797335,168733.45752107148,181700.6577348751,53137.34916131122,43558.424119832634,78528.45638726791,1531.2499773041893,1208.0664316220796,2351.707046137289,54668.59913861541,44766.49055145471,80880.1634334052,0.3100569947422365,0.25540021336483754,0.4596065493108153,2995.456666031718,400
5,2023,6,164434.17128752708,158349.5729900158,170518.76958503836,5805.990375200403,5591.149877779768,6020.8308726203395,170240.16166272748,163940.72286779556,176539.6004576587,52412.24954933855,42153.325838463046,84377.66036074859,1850.9471721641169,1433.3156627985297,3091.258576151892,54263.19672150267,43586.641501261576,87468.91893690047,0.3181325440063699,0.25632065959638234,0.5131148644444257,3002.30761676989,400
6,2023,7,169521.60306940932,163248.75327577427,175794.45286304434,7090.299756071763,6827.935641077813,7352.663871065481,176611.90282548108,170076.6889168521,183147.11673410982,55571.2321267186,43855.13152230288,86682.30383811076,2324.9915762188143,1766.7065339226365,3757.0845135111335,57896.22370293741,45621.83805622551,90439.38835162189,0.32836055687937904,0.25846829915881264,0.5094881931198157,3009.3869325326677,400
7,2023,8,169123.30176799663,162865.1904159002,175381.41312009306,8196.37795172655,7893.085351774935,8499.670551678864,177319.67971972318,170758.27576767514,183881.08367177192,58116.29680821649,43705.54434433044,91737.76703952113,2821.1901089893354,2040.2367191083215,4616.415968780864,60937.486917205824,45745.781063438764,96354.183008302,0.33862420930550685,0.25767324028939176,0.5486833879569674,3016.4662482954445,400
8,2023,9,163290.23437941304,157247.9654621581,169332.50329666797,8982.667503677774,8650.279637019848,9315.055370336864,172272.90188309082,165898.24509917796,178647.55866700484,60626.47218802608,43045.982977671374,99548.33285000565,3337.5953271730223,2281.128882216722,5685.691783169772,63964.0675151991,45327.11185988809,105234.02463317543,0.3667664322346218,0.2635670653705908,0.6169650164049649,3023.3171990336164,400
9,2023,10,168344.9874779327,162115.6762819545,174574.2986739109,10365.286868257215,9981.737595390528,10748.836141124135,178710.27434618992,172097.41387734504,185323.13481503504,66588.9923740859,45236.21057905659,116287.21441977206,4103.428031123323,2682.1223778414605,7430.239315229966,70692.42040520922,47918.332956898055,123717.45373500204,0.3951289627696569,0.2690880056550628,0.6939063852314582,3030.3965147963936,400
10,2023,11,162540.48939868048,156525.96348032664,168555.0153170343,11076.781995633384,10666.905092647066,11486.658898620866,173617.27139431387,167192.8685729737,180041.67421565516,71708.58891358302,42697.58439462764,119910.20675840903,4894.19858113646,2802.012646138513,8478.480511887346,76602.78749471948,45499.59704076616,128388.68727029637,0.4289696716783594,0.2624737033356067,0.7411087160130958,3037.247465534565,400
11,2023,12,167573.8040606819,161373.0291553721,173774.57896599174,12524.237606938928,12060.800146074267,12987.675067803822,180098.04166762083,173433.82930144636,186762.25403379556,81555.3741892937,46858.26362140246,144052.6491608002,6094.754950253884,3375.0557107096797,11179.333565992256,87650.12913954757,50233.31933211214,155231.98272679246,0.4884533772974423,0.28016811744442915,0.8732356702219998,3044.3267812973427,400
12,2024,1,202206.0386836826,196019.2953108421,208392.78205652308,13735.734847697895,13231.837745611556,14239.631949784467,215941.7735313805,209251.13305645366,222632.41400630755,102555.39434063005,58080.74663115772,182956.61614534084,6971.4638757821285,3797.497751539036,12881.848949664376,109526.85821641219,61878.24438269676,195838.46509500523,0.5024477220840002,0.2893908426713034,0.9062355831993982,3051.052131271981,400
