,year,month,nsys,nsys_lwr,nsys_upr,reward,reward_lwr,reward_upr,price,price_lwr,price_upr,m_nodes
0,2021,12,726490175.2546041,726160584.4584868,726616521.2030534,542186.4046393766,525389.5402687227,596790.5331625554,0.26037611354113255,0.2510879372288791,0.2912970957662472,2505.402485143166
1,2022,1,728555135.0023316,727547276.2031679,728941180.4000182,651038.5410601527,602017.0543205416,783553.0959628233,0.2733544263817209,0.25206003756334394,0.3287524204073351,2512.101566720691
2,2022,2,730640558.3151267,728946141.2073543,731288853.0729043,610650.5119949925,546286.7905665537,876072.5727852709,0.28386851524230483,0.25392402850587464,0.40827275985355815,2518.152350081037
3,2022,3,732725981.6279216,730343069.2911776,733636496.4396994,696369.7862347806,604859.0484274002,1103866.56857701,0.29305817654803823,0.25472602817450196,0.46511138246926653,2524.851431658563
4,2022,4,734882097.2564046,731785013.5802135,736063685.5382571,703744.0228029749,586522.7657985954,1110770.4387993426,0.30478083813454426,0.2543972608886106,0.48297397059887176,2531.334413830362
5,2022,5,737038212.8848876,733224327.444377,738490834.7735736,783349.174673201,614827.7755384593,1293273.1620604757,0.3324449502653851,0.25777094838022746,0.5424985805143979,2538.033495407888
6,2022,6,739194328.5133705,734660785.3597172,740917940.7105495,834215.1660758166,605713.0038791513,1348442.237038927,0.36331887278627606,0.2613369093982564,0.5898292863871649,2544.516477579687
7,2022,7,741350444.1418535,736094189.3664542,743345000.3352844,908310.6038780303,640444.4996830282,1506051.3020752182,0.38156419106171924,0.27091943281417147,0.6269041625548057,2551.2155591572123
8,2022,8,743541905.9281803,737547774.5965428,745811797.5079278,966070.3611167021,642093.5451094493,1595930.2871593111,0.40588233235350313,0.2688714993811065,0.6728393337163685,2557.914640734738
9,2022,9,745698021.5566633,738974482.3574226,748238755.5579568,997224.6792503343,628884.486383785,1749419.870825883,0.4321889764511959,0.2725824702024813,0.7488634165018901,2564.397622906537
10,2022,10,747854137.1851463,740397631.3663948,750665659.6167562,1141892.1548667524,632891.0599591694,1960610.4419455829,0.476009341033234,0.26324827466462697,0.8267279880158985,2571.0967044840627
11,2022,11,750010252.8136292,741817074.7808335,753092507.4527113,1215554.4600401667,636975.9135382349,2093197.538250714,0.5253602024352517,0.27506585263100664,0.9060964094370612,2577.5796866558617
12,2022,12,752166368.4421122,743232678.0142711,755519297.021151,1294956.1302029714,674372.8896261691,2335391.763268855,0.5440620029509597,0.2827706989110874,0.9717172520027888,2584.2787682333874
13,2023,1,754304810.9916731,744631789.9131069,757926120.7173228,1292734.882162968,650736.2768927838,2469308.2375060976,0.5624264992442978,0.28543776417102534,1.087319579994523,2590.977849810913
14,2023,2,756285963.1388283,745923110.8133378,760155839.5297172,1332055.0545697145,573861.5544003617,2474807.5228361734,0.6462819837740191,0.2788240516102254,1.219722620080237,2597.0286331712587
15,2023,3,758267115.2859836,747210494.4925803,762385498.5992451,1484436.4373972816,667483.5764146106,2878246.282569162,0.6506885315468871,0.29398649468411603,1.2639639989006721,2603.7277147487844
16,2023,4,760315425.1330423,748537267.5135322,764690674.8315481,1455046.0658511906,648738.8009189914,2916000.2299131905,0.6524283474626427,0.2920744446557426,1.3167453013805523,2610.2106969205834
17,2023,5,762363734.9801012,749859613.7855103,766995783.8938628,1735971.1785758385,662740.6977553309,3235722.410200002,0.7723908170306053,0.29264333289884537,1.4331219488954927,2616.909778498109
18,2023,6,764412044.8271601,751177426.1405015,769300824.1611618,1776734.0192915846,693341.7292651553,3038709.579086095,0.8115582445719995,0.31843090337564206,1.3850749793920425,2623.392760669908
19,2023,7,766460354.674219,752490605.8901372,771605794.1374689,1858114.427864086,748810.9903152352,3398694.8553036116,0.8201065641133385,0.32488232428360264,1.5230814110104602,2630.0918422474338
20,2023,8,768542243.3712298,753820463.3135334,773948476.9212002,2028170.7866323604,772427.2362034871,3736630.867914229,0.8993946435383227,0.33959738828341224,1.6346000789016786,2636.7909238249595
21,2023,9,770590553.2182887,755124003.6398871,776253300.643297,2027263.7640692717,800128.6175101873,3935794.5567253963,0.9124021876389681,0.37033513751562513,1.8024391099353085,2643.273905996758
22,2023,10,772638863.0653476,756422625.2252537,778558049.7391319,2155019.3103385833,935555.9835915101,4314441.764303225,0.9543852965566832,0.4114785745299377,1.9153256912657537,2649.972987574284
23,2023,11,774687172.9124064,757716235.9826417,780862722.8141079,2255539.489808569,911536.4908041364,4670644.4867163235,1.0255667409353662,0.42239105256649145,2.1416339166904734,2656.455969746083
24,2023,12,776735482.7594652,759004751.6037439,783167318.5918821,2491308.7113047745,815465.7768059779,5099620.518740065,1.1241686477626354,0.360248610559517,2.24018205591125,2663.155051323609
25,2024,1,778767003.1815482,760275233.4085962,785452910.8933656,2623515.517801343,802217.8998776843,5111945.164174732,1.2188042651899662,0.3616021583240014,2.384895332272438,2669.8541329011346
26,2024,2,780680997.6288,761464615.5015087,787606163.5531889,2648621.848271229,819524.0902442649,4974356.254364331,1.3034656239068962,0.41004381361985254,2.464405919579569,2676.121015667207
27,2024,3,782594992.0760518,762648826.6338974,789759337.7744992,2824914.288642646,916499.560226582,5709250.669406707,1.3031160794047028,0.4223186438656068,2.6433650400439794,2682.820097244732
28,2024,4,784540886.4307578,763847395.5067602,791948316.640134,3113420.6606490235,974408.6655273153,5630713.2089392785,1.4999828488337712,0.45685618039878784,2.68311042538553,2689.3030794165315
29,2024,5,786486780.7854638,765040466.2512584,794137212.1112044,3550666.963082395,1009411.9206179422,6306947.472660769,1.631500945107426,0.45933160033003906,2.9375084464249426,2696.002160994057
30,2024,6,788432675.1401699,766227960.3120558,796326022.9997545,3653172.6776094236,856545.8493810707,6481682.259867775,1.7541858682131437,0.4083313609913416,3.0809776987857838,2702.4851431658562
31,2024,7,790378569.4948758,767409806.6716193,798514748.2323014,3785591.887864749,956394.8916961764,7387744.300620837,1.7245063357038803,0.43804859764371895,3.4252562296225166,2709.184224743382
32,2024,8,792356363.757036,768605163.1318198,800739265.2671977,3789466.499425955,970239.511602201,7867601.643223621,1.7394267065486773,0.44314980455114655,3.6235038100981813,2715.8833063209076
33,2024,9,794302258.1117418,769775397.6333513,802927814.3997188,4197476.099450863,1511488.612540754,8021794.217497931,2.00911534085417,0.7522200051023289,3.793336598325718,2722.3662884927066
34,2024,10,796248152.4664475,770939769.7477047,805116274.6318607,4895446.121718195,1523531.4433957448,9075551.07600865,2.271332717044423,0.7024950160296163,4.219455056094451,2729.0653700702323
35,2024,11,798194046.8211532,772098207.7236731,807304644.8795172,5023849.022858782,1156754.7213986667,9258062.178995268,2.3978918931622104,0.5602915224223903,4.440267691808769,2735.5483522420313
36,2024,12,800139941.175859,773250647.3854268,809492924.1735626,5312558.941620855,1097655.956889407,10007292.26712197,2.413399510058622,0.48253141475041184,4.623847258943136,2742.247433819557
37,2025,1,802069885.5768378,774383608.0324771,811663114.6143498,5740948.486482433,1633124.223341531,10437275.347073019,2.7773210258918675,0.8251948347447376,5.0229045041229226,2748.9465153970827
38,2025,2,803857875.3896456,775423227.3208227,813673527.7203801,5269136.7193106115,1505985.5620910847,10269790.153785843,2.8296461246045395,0.7734089644341466,5.5486425778959365,2754.9972987574283
