,year,month,nsys,nsys_lwr,nsys_upr,reward,reward_lwr,reward_upr,price,price_lwr,price_upr,m_nodes
0,2021,12,726490175.2546041,726160584.4584868,726616521.2030534,14715.669731352895,14259.78019504983,16197.699369941676,0.26037611354113255,0.2510879372288791,0.2912970957662472,200
1,2022,1,728555135.0023316,727547276.2031679,728941180.4000182,17622.942232340334,16295.981116414963,21209.97464088446,0.2733544263817209,0.25206003756334394,0.3287524204073351,200
2,2022,2,730640558.3151267,728946141.2073543,731288853.0729043,16489.96130608348,14751.888128345452,23657.399024122307,0.28386851524230483,0.25392402850587464,0.40827275985355815,200
3,2022,3,732725981.6279216,730343069.2911776,733636496.4396994,18754.82448995386,16290.231883483471,29729.641008591225,0.29305817654803823,0.25472602817450196,0.46511138246926653,200
4,2022,4,734882097.2564046,731785013.5802135,736063685.5382571,18904.88798680287,15755.937997126795,29838.961389562624,0.30478083813454426,0.2543972608886106,0.48297397059887176,200
5,2022,5,737038212.8848876,733224327.444377,738490834.7735736,20987.80176627141,16472.709604605203,34649.88747360053,0.3324449502653851,0.25777094838022746,0.5424985805143979,200
6,2022,6,739194328.5133705,734660785.3597172,740917940.7105495,22293.678108586355,16187.155644973569,36035.95139846188,0.36331887278627606,0.2613369093982564,0.5898292863871649,200
7,2022,7,741350444.1418535,736094189.3664542,743345000.3352844,24210.075405823416,17070.38271310662,40142.23265984871,0.38156419106171924,0.27091943281417147,0.6269041625548057,200
8,2022,8,743541905.9281803,737547774.5965428,745811797.5079278,25682.16449047185,17069.514506903535,42426.45856847703,0.40588233235350313,0.2688714993811065,0.6728393337163685,200
9,2022,9,745698021.5566633,738974482.3574226,748238755.5579568,26443.355579219475,16676.097611425674,46389.27682413303,0.4321889764511959,0.2725824702024813,0.7488634165018901,200
10,2022,10,747854137.1851463,740397631.3663948,750665659.6167562,30200.60132141968,16738.61274924686,51853.9461467098,0.476009341033234,0.26324827466462697,0.8267279880158985,200
11,2022,11,750010252.8136292,741817074.7808335,753092507.4527113,32067.95262650871,16804.276641703287,55221.35099757726,0.5253602024352517,0.27506585263100664,0.9060964094370612,200
12,2022,12,752166368.4421122,743232678.0142711,755519297.021151,34074.11690109493,17744.74064418661,61451.04849150711,0.5440620029509597,0.2827706989110874,0.9717172520027888,200
13,2023,1,754304810.9916731,744631789.9131069,757926120.7173228,33927.72037533903,17078.51992325547,64806.79105869962,0.5624264992442978,0.28543776417102534,1.087319579994523,200
14,2023,2,756285963.1388283,745923110.8133378,760155839.5297172,34878.222963653934,15025.858860698703,64799.790577342574,0.6462819837740191,0.2788240516102254,1.219722620080237,200
15,2023,3,758267115.2859836,747210494.4925803,762385498.5992451,38768.13891530679,17432.26948773819,75169.4373056158,0.6506885315468871,0.29398649468411603,1.2639639989006721,200
16,2023,4,760315425.1330423,748537267.5135322,764690674.8315481,37906.18611540053,16900.64273912276,75966.28726869781,0.6524283474626427,0.2920744446557426,1.3167453013805523,200
17,2023,5,762363734.9801012,749859613.7855103,766995783.8938628,45108.94533433466,17221.215579402546,84079.75150747411,0.7723908170306053,0.29264333289884537,1.4331219488954927,200
18,2023,6,764412044.8271601,751177426.1405015,769300824.1611618,46054.069799664976,17971.856253041984,78765.27467625128,0.8115582445719995,0.31843090337564206,1.3850749793920425,200
19,2023,7,766460354.674219,752490605.8901372,771605794.1374689,48040.8246834412,19360.216447013954,87871.93148478011,0.8201065641133385,0.32488232428360264,1.5230814110104602,200
20,2023,8,768542243.3712298,753820463.3135334,773948476.9212002,52304.341707509564,19920.067073669867,96363.68842228127,0.8993946435383227,0.33959738828341224,1.6346000789016786,200
21,2023,9,770590553.2182887,755124003.6398871,776253300.643297,52152.724560236915,20583.847125058204,101250.96353054802,0.9124021876389681,0.37033513751562513,1.8024391099353085,200
22,2023,10,772638863.0653476,756422625.2252537,778558049.7391319,55299.172402947304,24006.964290778207,110711.33228462587,0.9543852965566832,0.4114785745299377,1.9153256912657537,200
23,2023,11,774687172.9124064,757716235.9826417,780862722.8141079,57737.33389665148,23333.52484686808,119559.2280519026,1.0255667409353662,0.42239105256649145,2.1416339166904734,200
24,2023,12,776735482.7594652,759004751.6037439,783167318.5918821,63612.14015103142,20821.796611221183,130211.79337717305,1.1241686477626354,0.360248610559517,2.24018205591125,200
25,2024,1,778767003.1815482,760275233.4085962,785452910.8933656,66819.77603646764,20432.133920517284,130198.97487289204,1.2188042651899662,0.3616021583240014,2.384895332272438,200
26,2024,2,780680997.6288,761464615.5015087,787606163.5531889,67301.2485713542,20824.035165209476,126397.95559187033,1.3034656239068962,0.41004381361985254,2.464405919579569,200
27,2024,3,782594992.0760518,762648826.6338974,789759337.7744992,71601.58514727897,23230.02207990484,144709.31014657638,1.3031160794047028,0.4223186438656068,2.6433650400439794,200
28,2024,4,784540886.4307578,763847395.5067602,791948316.640134,78723.96627384465,24638.275158719967,142374.6178474395,1.4999828488337712,0.45685618039878784,2.68311042538553,200
29,2024,5,786486780.7854638,765040466.2512584,794137212.1112044,89556.81007339338,25459.924177772715,159077.18263207938,1.631500945107426,0.45933160033003906,2.9375084464249426,200
30,2024,6,788432675.1401699,766227960.3120558,796326022.9997545,91921.22395404972,21552.428476879955,163092.25410012138,1.7541858682131437,0.4083313609913416,3.0809776987857838,200
31,2024,7,790378569.4948758,767409806.6716193,798514748.2323014,95017.62413339985,24005.326784855388,185430.95292451064,1.7245063357038803,0.43804859764371895,3.4252562296225166,200
