,year,month,nsys,nsys_lwr,nsys_upr,reward,reward_lwr,reward_upr,price,price_lwr,price_upr,num_m_nodes
0,2023,1,754302172.8558664,744627891.9348576,757918930.3590735,591822.2916722627,571289.9627246778,664324.1402031231,0.26150782787521415,0.2516147732443735,0.29635375672902825,2568.052863079032
1,2023,2,756283575.2752396,745919212.8350884,760148649.1714679,559537.0314067923,517441.49472802505,665335.8313372405,0.2738337519886648,0.252063303515459,0.32407720275869356,2574.447083767992
2,2023,3,758264977.6946127,747206596.514331,762378308.2409958,640466.5280107107,576476.3729686985,820307.276945571,0.28162863841450037,0.2538307914432439,0.3666789095833974,2581.526399530769
3,2023,4,760313546.2976935,748533369.5352829,764683484.4732988,644774.3152662546,557162.2870200172,894522.2342592439,0.2942055268424485,0.25326969161711205,0.4096332436468961,2588.377350268941
4,2023,5,762362114.9007742,749855715.807261,766988593.5356135,694287.9692895608,579974.9188036742,1033482.2343651376,0.3020030715231455,0.2552569423977376,0.4578215754577871,2595.456666031718
5,2023,6,764410683.503855,751173528.1622521,769293633.8029125,715399.6568937375,572950.4308933367,1158151.4157500393,0.32565731685071375,0.2599308936388256,0.5276276839759795,2602.30761676989
6,2023,7,766459252.1069357,752486707.9118879,771598603.7792196,749095.9622093571,587643.2568240263,1327869.9309076292,0.32889793982225535,0.25875555508941755,0.5852922398140941,2609.3869325326677
7,2023,8,768541403.8018702,753816565.3352841,773941286.5629507,795002.467903339,587763.8601493927,1468894.7754721367,0.34992913889119603,0.2583908677453198,0.6543556760896213,2616.4662482954445
8,2023,9,770589972.4049509,755120105.6616378,776246110.2850478,845226.1636897054,575581.7256330368,1367130.266548428,0.38221524960297115,0.26156009597796265,0.6262255816691122,2623.3171990336164
9,2023,10,772638541.0080317,756418727.2470044,778550859.3808826,929711.3753382677,615115.0446884425,1723281.87005763,0.40739222485898463,0.2674007524482971,0.780045661349536,2630.3965147963936
10,2023,11,774687109.6111124,757712338.0043924,780855532.4558585,878646.6676661652,585153.6682819002,1675952.4833445298,0.400163336483275,0.26569839815127905,0.7522337395405047,2637.247465534565
11,2023,12,776735678.2141931,759000853.6254945,783160128.2336328,944126.8401084861,614902.4679338714,1692840.141548886,0.4118259789293727,0.2709018498393699,0.747997783981085,2644.3267812973427
12,2024,1,778764096.9621617,760269078.9998468,785441940.3236164,995945.6570011015,593074.6541990344,1902637.374142754,0.4638538460969445,0.2729725066124187,0.8890041004064646,2651.052131271981
13,2024,2,780678333.1978272,761458461.0927594,787595192.9834396,1008061.9849663206,555552.5674042125,1946820.830213773,0.49928752379584407,0.2753332028605804,0.9584216067755857,2657.3435876998687
14,2024,3,782592569.4334928,762642672.2251481,789748367.20475,1182026.1718425793,597991.6756088453,2139890.115409162,0.5472304239532255,0.27763534925649547,0.9626403398634851,2664.0689376745077
15,2024,4,784538709.6064196,763841241.0980109,791937346.0703846,1195966.4695301536,607755.9979645481,2467421.4746934534,0.5677673870698647,0.2880405514869317,1.1785347767085315,2670.5773408757705
16,2024,5,786484849.7793462,765034311.842509,794126241.541455,1400817.6131366312,599064.5169743443,2571630.901464567,0.6422269573961502,0.2769502717717988,1.191645031573757,2677.3026908504085
17,2024,6,788430989.9522729,766221805.9033066,796315052.4300053,1494068.9851573464,620554.8790745977,2766041.9836372444,0.7158581067794727,0.29622174401344276,1.3368553500782459,2683.811094051672
18,2024,7,790377130.1251997,767403652.26287,798503777.662552,1712988.34765236,683575.4061728597,2985739.389887277,0.7848532246045514,0.31603534649524634,1.378905476723159,2690.5364440263106
19,2024,8,792355174.2353874,768599008.7230705,800728294.6974484,1781725.9874360426,738862.5574968212,3387442.515539631,0.8238862829731766,0.33069311510598187,1.5826364502691566,2697.261794000949
20,2024,9,794301314.4083143,769769243.224602,802916843.8299695,1988774.0897904916,739735.1005741237,3695922.2970528705,0.9476068388031338,0.35054722450886777,1.7830496828753104,2703.770197202213
21,2024,10,796247454.5812413,770933615.3389554,805105304.0621114,2429158.822245974,892011.7803060709,4237350.04266363,1.1336825195642262,0.40184104600575876,1.975805812409356,2710.495547176852
22,2024,11,798193594.7541682,772092053.3149238,807293674.309768,2578162.4448498436,1016084.9175372046,4631724.79455206,1.2361245983687161,0.5064629723191927,2.2028507640842037,2717.003950378116
23,2024,12,800139734.927095,773244492.9766774,809481953.6038133,2821518.2515478,809641.9512767158,4931810.71206795,1.303885198042889,0.3652522702300621,2.28571555403135,2723.729300352755
